seed, graph_nodes, graph_edges,X, Y, H_graph_nodes, H_graph_edges, num_seperator, num_contained_separators

0,20,59,V14,V11,7,14,1,0/n
0,20,59,V15,V11,14,60,1,0/n
0,20,59,V0,V15,4,3,2,1/n
0,20,59,V7,V13,15,63,4,3/n
0,20,59,V17,V19,5,6,1,0/n
0,20,59,V17,V8,3,1,1,0/n
0,20,59,V14,V18,7,16,1,0/n
0,20,59,V8,V12,12,51,1,0/n
0,20,59,V17,V13,5,6,1,0/n
0,20,59,V14,V10,5,4,3,2/n
0,20,59,V5,V19,8,24,1,0/n
0,20,59,V17,V15,3,1,1,0/n
0,20,59,V3,V18,12,50,1,0/n
0,20,59,V8,V9,8,22,2,1/n
0,20,59,V1,V19,7,15,1,0/n
0,20,59,V6,V12,15,74,4,4/n
0,20,59,V3,V12,12,44,1,0/n
0,20,59,V8,V18,11,43,2,1/n
0,20,59,V1,V12,7,13,1,0/n
0,20,59,V1,V7,7,12,1,0/n
1,20,52,V1,V14,17,82,6,6/n
1,20,52,V11,V14,18,85,9,10/n
1,20,52,V19,V5,15,57,13,21/n
1,20,52,V16,V14,18,85,7,7/n
1,20,52,V15,V19,8,19,1,0/n
1,20,52,V0,V3,5,6,1,0/n
1,20,52,V4,V5,10,23,3,2/n
1,20,52,V0,V4,2,0,1,0/n
1,20,52,V10,V18,6,11,1,0/n
1,20,52,V10,V7,4,4,1,0/n
1,20,52,V10,V8,5,4,1,0/n
1,20,52,V13,V11,6,9,2,1/n
1,20,52,V8,V17,12,38,3,2/n
1,20,52,V15,V6,5,4,1,0/n
1,20,52,V4,V7,6,9,2,1/n
1,20,52,V0,V1,3,1,1,0/n
1,20,52,V10,V14,6,11,1,0/n
1,20,52,V0,V13,2,0,1,0/n
1,20,52,V18,V14,19,89,14,18/n
1,20,52,V8,V18,12,47,1,0/n
2,20,59,V19,V5,2,0,1,0/n
2,20,59,V19,V11,2,0,1,0/n
2,20,59,V3,V16,13,44,5,4/n
2,20,59,V3,V2,6,6,3,2/n
